review,sentiment
"['reviewer', 'mention', 'watch', 'oz', 'episode', 'hook', 'right', 'exactly', 'happen', 'thing', 'strike', 'oz', 'brutality', 'unflinche', 'scene', 'violence', 'set', 'right', 'word', 'trust', 'not', 'faint', 'hearted', 'timid', 'pull', 'no', 'punch', 'regard', 'drug', 'sex', 'violence', 'hardcore', 'classic', 'use', 'word', 'oz', 'nickname', 'oswald', 'maximum', 'security', 'state', 'penitentary', 'focus', 'mainly', 'emerald', 'city', 'experimental', 'section', 'prison', 'cell', 'glass', 'face', 'inward', 'privacy', 'not', 'high', 'agenda', 'city', 'home', '..', 'aryan', 'latinos', '....', 'scuffle', 'death', 'stare', 'dodgy', 'dealing', 'shady', 'agreement', 'never', 'far', 'away', 'main', 'appeal', 'fact', 'not', 'dare', 'forget', 'pretty', 'picture', 'paint', 'mainstream', 'audience', 'forget', 'charm', 'forget', 'romance', 'oz', 'not', 'mess', 'episode', 'strike', 'nasty', 'surreal', 'not', 'ready', 'watch', 'develop', 'taste', 'oz', 'accustomed', 'high', 'level', 'graphic', 'violence', 'not', 'violence', 'injustice', 'crooked', 'guard', 'sell', 'nickel', 'inmate', 'kill', 'order', 'away', 'well', 'mannered', 'middle', 'class', 'inmate', 'turn', 'prison', 'bitch', 'lack', 'street', 'skill', 'prison', 'experience', 'watch', 'oz', 'comfortable', 'uncomfortable', 'view', '....', 'touch', 'dark']",positive
"['wonderful', 'little', 'production', 'filming', 'technique', 'very', 'unassuming', 'very', 'old', 'time', 'fashion', 'comforting', 'discomforte', 'sense', 'realism', 'entire', 'piece', 'actor', 'extremely', 'well', 'choose', 'not', 'polari', 'voice', 'truly', 'seamless', 'editing', 'guide', 'reference', ""'"", 'diary', 'entry', 'not', 'well', 'worth', 'watching', 'terrificly', 'write', 'perform', 'piece', 'masterful', 'production', 'great', 'master', 'comedy', 'life', 'realism', 'really', 'come', 'home', 'little', 'thing', 'fantasy', 'guard', 'use', 'traditional', ""'"", 'dream', ""'"", 'technique', 'remain', 'solid', 'disappear', 'play', 'knowledge', 'sense', 'particularly', 'scene', 'concern', 'orton', 'halliwell', 'set', 'particularly', 'flat', 'halliwell', 'mural', 'decorate', 'surface', 'terribly', 'well']",positive
"['think', 'wonderful', 'way', 'spend', 'time', 'hot', 'sit', 'air', 'condition', 'theater', 'watch', 'light', 'hearted', 'comedy', 'plot', 'simplistic', 'dialogue', 'witty', 'character', 'likable', 'well', 'bread', 'suspect', 'serial', 'killer', 'disappoint', 'realize', 'not', 'match', 'point', 'risk', 'addiction', 'think', 'proof', 'fully', 'control', 'style', 'grow', 'love', 'most', 'laugh', 'comedy', 'dare', 'decade', 'never', 'impress', 'manage', 'tone', 'sexy', 'image', 'jump', 'right', 'average', 'spirit', 'young', 'woman', 'not', 'crown', 'career', 'witty', 'devil', 'wear', 'prada', 'interesting', 'superman', 'great', 'comedy', 'friend']",positive
"['basically', 'family', 'little', 'boy', 'jake', 'think', 'zombie', 'closet', 'parent', 'fight', 'time', 'movie', 'slow', 'soap', 'opera', 'suddenly', 'decide', 'rambo', 'kill', 'zombie', 'ok', 'film', 'decide', 'thriller', 'drama', 'drama', 'movie', 'watchable', 'parent', 'divorce', 'argue', 'like', 'real', 'life', 'closet', 'totally', 'ruin', 'film', 'expect', 'boogeyman', 'similar', 'movie', 'instead', 'watch', 'drama', 'meaningless', 'thriller', 'spot', 'well', 'play', 'parent', 'descent', 'dialog', 'shot', 'ignore']",negative
"['petter', 'love', 'time', 'money', 'visually', 'stunning', 'film', 'watch', 'mr', 'offer', 'vivid', 'portrait', 'human', 'relation', 'movie', 'tell', 'money', 'power', 'success', 'people', 'different', 'situation', 'encounter', 'variation', 'play', 'theme', 'director', 'transfer', 'action', 'present', 'time', 'different', 'character', 'meet', 'connect', 'connect', 'way', 'person', 'no', 'know', 'previous', 'point', 'contact', 'stylishly', 'film', 'sophisticated', 'luxurious', 'look', 'people', 'live', 'world', 'live', 'habitat', 'thing', 'soul', 'picture', 'different', 'stage', 'loneliness', 'inhabit', 'big', 'city', 'not', 'exactly', 'good', 'place', 'human', 'relation', 'find', 'sincere', 'fulfillment', 'discern', 'case', 'most', 'people', 'encounter', 'acting', 'good', 'mr', 'direction', 'rest', 'talented', 'cast', 'character', 'come', 'alive', 'wish', 'mr', 'good', 'luck', 'await', 'anxiously', 'work']",positive
"['probably', 'time', 'favorite', 'movie', 'story', 'selflessness', 'sacrifice', 'dedication', 'noble', 'cause', 'not', 'preachy', 'boring', 'never', 'old', 'despite', 'time', 'performance', 'bring', 'tear', 'eye', 'very', 'truly', 'sympathetic', 'role', 'delight', 'kid', 'grandma', 'like', 'dress', 'midget', 'child', 'fun', 'watch', 'mother', 'slow', 'awakening', 'happen', 'world', 'roof', 'believable', 'startling', 'thumb', 'movie']",positive
"['sure', 'like', 'resurrection', 'dated', 'seahunt', 'series', 'tech', 'bring', 'kid', 'excitement', 'me.i', 'grow', 'black', 'white', 'tv', 'seahunt', 'gunsmoke', 'hero', 'week.you', 'vote', 'comeback', 'new', 'sea', 'hunt.we', 'need', 'change', 'pace', 'tv', 'work', 'world', 'water', 'adventure.oh', 'way', 'thank', 'outlet', 'like', 'view', 'viewpoint', 'tv', 'movies.so', 'ole', 'way', 'believe', 'wanna', 'say.would', 'nice', 'read', 'plus', 'point', 'sea', 'hunt.if', 'rhyme', 'line', 'let', 'submit', 'leave', 'doubt', 'quit', 'let']",positive
"['amazing', 'fresh', 'innovative', 'idea', 'air', '7', '8', 'year', 'brilliant', 'thing', 'drop', 'not', 'really', 'funny', 'anymore', 'continue', 'decline', 'complete', 'waste', 'time', 'truly', 'disgraceful', 'far', 'fall', 'writing', 'painfully', 'bad', 'performance', 'bad', '  ', 'not', 'mildly', 'entertaining', 'respite', 'guest', 'host', 'probably', 'not', 'air', 'find', 'hard', 'believe', 'creator', 'hand', 'select', 'original', 'cast', 'choose', 'band', 'hack', 'follow', 'recognize', 'brilliance', 'fit', 'replace', 'mediocrity', 'feel', 'star', 'respect', 'original', 'cast', 'huge', 'success', 'awful', 'not', 'believe', 'air']",negative
"['encourage', 'positive', 'comment', 'film', 'look', 'forward', 'watch', 'film', 'bad', 'mistake', 'seen+', 'film', 'truly', 'bad', '  ', 'awful', 'way', 'editing', 'pacing', 'storyline', ""'"", 'acting', ""'"", 'soundtrack', 'film', 'song', '  ', 'lame', 'country', 'tune', '  ', 'play', 'time', 'film', 'look', 'cheap', 'nasty', 'bore', 'extreme', 'rarely', 'happy', 'end', 'credit', 'film', 'thing', 'prevent', 'score', 'harvey', '  ', 'far', 'good', 'performance', 'bit', 'effort', 'obsessive']",negative
"['like', 'original', 'gut', 'wrenching', 'laughter', 'like', 'movie', 'young', 'old', 'love', 'movie', 'hell', 'mom', 'like', 'great', 'camp']",positive
